City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
463,Banda Aceh,ID,80.78,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
464,Sistranda,NO,53.56,light rain,63.7256,8.834,Hotell Frøya
465,Fortuna,US,59.94,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
466,Dayong,CN,76.78,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
468,Honiara,SB,75.78,overcast clouds,-9.4333,159.95,Heritage Park Hotel
470,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
471,Corralillo,CU,85.01,broken clouds,22.9819,-80.5856,Hostal De Pedri
472,Aklavik,CA,66.2,smoke,68.2191,-135.0107,Aklavik Inn
473,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
474,Taltal,CL,62.28,overcast clouds,-25.4,-70.4833,Residencial Karime
475,Sumenep,ID,79.38,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
476,Lianzhou,CN,75.58,heavy intensity rain,24.7811,112.3825,Qingcheng Tourism Industry
477,Yumen,CN,76.84,overcast clouds,40.2833,97.2,
480,Bahia Blanca,AR,55.99,overcast clouds,-38.7196,-62.2724,Hotel Argos
482,Ambon,ID,79.23,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
483,Biak,ID,75.92,light rain,-0.9131,122.8766,Penginapan Kim
484,Nipawin,CA,57.24,mist,53.3668,-104.0009,Tobin Lake Motel
485,Ust-Nera,RU,71.67,light rain,64.5667,143.2,Hotel Ust-Nera
486,Arman,RU,52.21,few clouds,59.7,150.1667,
487,Kenora,CA,69.94,clear sky,49.8167,-94.4337,Maynard Lake Lodge
488,Liwale,TZ,77.7,scattered clouds,-9.7667,37.9333,Nakivubo Executive Lodge
490,Loandjili,CG,74.8,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
491,Kapiri Mposhi,ZM,71.92,few clouds,-13.9652,28.6809,MA 22 LODGE
492,Raudeberg,NO,54.27,light rain,61.9875,5.1352,Nordre Silda.
493,Srivardhan,IN,80.87,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
494,Makakilo City,US,73.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
495,Teya,RU,57.27,light rain,60.3778,92.6267,
497,Lerdo,MX,82.27,broken clouds,25.5333,-103.5333,Motel La Fuente
498,Lakselv,NO,60.62,scattered clouds,70.0513,24.9718,Lakselv Hotel
500,Encantado,BR,75.61,overcast clouds,-29.2361,-51.8697,Tri Hotel Encantado
501,Oxelosund,SE,71.98,clear sky,58.6706,17.1015,Stjärnholms Slott
502,Dalian,CN,75.13,light intensity shower rain,38.9122,121.6022,Kempinski Hotel Dalian
504,Troitskoye,RU,58.71,heavy intensity rain,52.9821,84.6757,
505,Petropavlovka,RU,59.41,overcast clouds,50.6114,105.3196,Tuyaa
506,Lukovetskiy,RU,77.22,broken clouds,64.2956,41.9211,Provintsiya
507,Detva,SK,74.79,broken clouds,48.5608,19.4195,Chata Blato
508,Jiaocheng,CN,74.08,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
509,Hirado,JP,79.39,overcast clouds,33.3597,129.5531,Samson Hotel
512,Lagos,NG,84.72,light rain,6.5833,3.75,
513,Agdam,AZ,82.35,scattered clouds,39.991,46.9274,
514,Truckee,US,64.87,clear sky,39.328,-120.1833,Truckee Donner Lodge
515,Thinadhoo,MV,83.3,overcast clouds,0.5333,72.9333,
517,Dinghai,CN,79.72,clear sky,26.2847,119.7936,Shanhai Hotel
522,Almenara,BR,76.48,overcast clouds,-16.1836,-40.6944,Pousada Estância
523,Kamaishi,JP,68.02,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
524,Indramayu,ID,80.47,moderate rain,-6.3264,108.32,Grand Trisula Hotel
525,Promyshlennyy,RU,62.87,overcast clouds,67.5833,63.9167,
526,Dongfeng,CN,70.05,heavy intensity rain,42.6403,125.5118,Home Inn
